state,state_code,place_name,category,description,timings,entry_fee,best_time,nearest_railway,nearest_bus,nearest_airport,metro_station,accessibility,guided_tours,parking,nearby_amenities,official_website,wikipedia,special_notes,source_file
Rajasthan,RJ,"Desert National Park, Jaisalmer (Rajasthan)",Desert Ecosystem / National Park,nan,6:00 AM to 6:00 PM," Indians ₹200, Foreigners ₹800; Vehicle charges extra","October to March (pleasant weather, bird migration)",Jaisalmer Railway Station (45 km),Jaisalmer Main Bus Stand (40 km),Jaisalmer Airport (50 km),No metro available,"4WD vehicles recommended, guided safaris only",Forest department guides mandatory,"Available at park entrance, ₹50","Limited facilities, basic refreshments",,https://en.wikipedia.org/wiki/Desert_National_Park,"India's largest national park, Great Indian Bustard habitat, fossil park, desert ecosystem showcase",rajasthan_tourism_guide.csv
Rajasthan,RJ,"Kuldhara Village, Jaisalmer (Rajasthan)",Abandoned Village / Historical Site,nan,8:00 AM to 6:00 PM," Indians ₹30, Foreigners ₹100",October to March (pleasant weather),Jaisalmer Railway Station (18 km),Jaisalmer Main Bus Stand (17 km),Jaisalmer Airport (20 km),No metro available,"Road accessible, walking required in village",Local guides available for village history,"Available, ₹20-30 per vehicle","Interpretation center, basic facilities",https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Kuldhara,"13th-century abandoned Paliwal Brahmin village, mysterious overnight exodus, archaeological significance, ghost village stories",rajasthan_tourism_guide.csv
Rajasthan,RJ,"Mandore Gardens, Jodhpur (Rajasthan)",Garden / Memorial Complex,nan,8:00 AM to 8:00 PM (Daily)," Indians ₹20, Foreigners ₹50",October to March (pleasant weather),Jodhpur Junction (9 km),Central Bus Stand (8 km),Jodhpur Airport (6 km),No metro available,"Road accessible, well-maintained paths",Available for historical context,"Available, ₹20-30 per vehicle","Museum, cafeteria, restrooms, gardens",https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Mandore,"Ancient capital of Marwar, cenotaphs of Jodhpur rulers, Hall of Heroes, temple ruins, rock terraces",rajasthan_tourism_guide.csv
Rajasthan,RJ,"Osian Temples, Jodhpur (Rajasthan)",Temple Complex / Archaeological Site,nan,Sunrise to sunset,Not documented,October to March (pleasant weather),Osian Railway Station (2 km),Osian (1 km),Jodhpur Airport (65 km),No metro available,"Road accessible, desert location",Local guides available for temple history,"Available, ₹20-30 per vehicle","Desert camps, camel safari operators, basic facilities",https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Osian,"8th-12th century Jain and Hindu temples, desert oasis town, camel safari base, ancient Silk Route stop",rajasthan_tourism_guide.csv
Sikkim,SK,Gangtok,City / Hill-Station / Urban Attractions,nan,"Individual sites vary (e.g., MG Marg open all day; monasteries 7:00–17:00)",Usually free for public areas; small donations/fees for some monasteries (₹0–₹50),Mar–Jun & Sep–Nov,New Jalpaiguri (NJP) — ~116–129 km,Gangtok Central Bus Stand (Tadong / Deorali),Pakyong Airport (~31–35 km) OR Bagdogra Airport (IXB) — ~122–125 km,No metro available,Paved roads to most city attractions; wheelchair access variable,"Widely available (local guides, city walking tours)",Public parking areas available near main hotels / markets,"Restaurants, cafés, hotels, souvenir shops, ATMs, medical shops",gangtokdistrict.nic.in,Not a single page for all attractions; individual pages exist,Main base for East & North Sikkim trips; MG Marg is pedestrianized social hub,sikkim_tourist.csv
Sikkim,SK,Tsomgo / Changu Lake,High-Altitude Glacial Lake / Eco-Tourism Destination,nan,Day visits typical (daylight hours); seasonal access,Tourist permit / vehicle charges apply; yak rides cost extra,Mar–Jun & Sep–Nov,New Jalpaiguri (NJP) — ~120–140 km (road) via Gangtok,Gangtok bus stands — ~38 km by road from Gangtok city center,Bagdogra (IXB) / Pakyong,No metro available,Good motorable road from Gangtok; short walks; high altitude,Local guided day tours from Gangtok widely available,Small parking area near site; charges vary,"Small stalls, local tea shops on route; major amenities in Gangtok",Incredible India / Sikkim tourism pages,https://en.wikipedia.org/wiki/Lake_Tsomgo,Sacred for locals; military-controlled area near border; permits and closures can apply,sikkim_tourist.csv
Sikkim,SK,Nathu La Pass,Mountain Pass / Historical / Border Visit (High-Altitude),nan,Visits controlled and allowed only on specific days and times,Special permit required for Indian nationals; permit fees / vehicle charges vary,Apr–Jun & Sep–Oct,New Jalpaiguri (NJP) — ~176–180 km (road) to Nathu La via Gangtok,Gangtok bus stands — ~54–60 km from Gangtok,Bagdogra Airport (IXB) — ~178–180 km,No metro available,High-altitude road; permits mandatory; medical fitness recommended; not wheelchair accessible,Only through authorized tour operators / vehicle movement regulated,Regulated parking at controlled entry points,Minimal near the pass; full services available in Gangtok,Government / restricted-tour pages,Noted on multiple pages / travel guides,Border pass to Tibet (China); stringent permit & security checks; subject to sudden closure,sikkim_tourist.csv
Sikkim,SK,Rumtek Monastery,Buddhist Monastery / Cultural & Religious Site,nan,06:00–18:00 (varies),Small nominal fees/donations (₹10–₹50),Mar–Jun & Sep–Nov,New Jalpaiguri (NJP) — ~120–130 km to Gangtok,Gangtok bus stands (~20–30 min from city center),Bagdogra (IXB) ~122–125 km to Gangtok,No metro available,Good motorable approach; steps in monastery complex; limited wheelchair access,Local guides and monastery caretakers can explain history,Onsite / nearby parking available; small charges possible,"Tea stalls, small shops; full amenities in Gangtok",Rumtek info on Sikkim tourism pages,https://en.wikipedia.org/wiki/Rumtek_Monastery,One of Sikkim’s largest and most important monasteries (Karma Kagyu),sikkim_tourist.csv
Sikkim,SK,Pelling,Hill-Station / Historical Monuments / Lakes / Monasteries / Bridges,nan,Monasteries open daytime; specific hours not documented uniformly,Small fees for some heritage sites/ruins; local conservation rules apply,Oct–May for clear Kanchenjunga views,New Jalpaiguri (NJP) — ~150–160 km by road to Pelling,Gyalshing / Pelling local bus stands,Bagdogra (IXB) ~150–170 km,No metro available,Good motorable roads to Pelling; some trails/walks to lakes & ruins,Local guides available for heritage and nature walks,Public parking in town; parking near major monasteries/attractions,"Guesthouses, restaurants, cafes, souvenir shops",Sikkim Tourism: Pelling pages,"Individual pages for Pemayangtse, Khecheopalri, etc.",Major base for Kanchenjunga views; Rabdentse ruins are an important historical site,sikkim_tourist.csv
Sikkim,SK,Yumthang Valley,Alpine Valley / Valley Of Flowers / Eco-Tourism Destination,nan,Day visits common; seasonal closures depending on snowfall,Permit required for North Sikkim (ILP) and vehicle charges,Apr–Jun (flower bloom); Oct–Dec for snow views,"New Jalpaiguri (NJP) — ~125–140 km to Gangtok, then onward",Lachung bus stand / ticketing point,Bagdogra (IXB) — then road to Gangtok and onward,No metro available,Mountain roads; some stretches may be rough; not recommended for wheelchairs,Local tour operators arrange day tours from Gangtok,Limited near Yumthang; parking at designated points,Small guesthouses in Lachung; more amenities in Gangtok,Sikkim Tourism / Lachung pages,Yumthang Valley — travel pages,“Valley of Flowers” nickname; Zero Point (Yumesamdong) requires additional permits,sikkim_tourist.csv
Sikkim,SK,Gurudongmar Lake,High-Altitude Glacial Lake / Sacred Lake,nan,Early morning visits recommended for clear views; access is seasonal,Permit required (North Sikkim ILP) and vehicle charges,Apr–Jun & Sep–Oct,New Jalpaiguri (NJP) — long road journey (200+ km) via Gangtok → Lachen,Lachen village (base) — then 3–4 hr drive to lake,Bagdogra Airport (IXB),No metro available,"High-altitude, steep roads; only for acclimatized visitors; not feasible for wheelchairs",Licensed local operators provide guided day trips from Lachen,Parking at Lachen and designated spots en route,Basic guesthouses at Lachen; medical precautions critical,Sikkim tourism / regional guides,Gurudongmar Lake pages & travel guides,Sacred to multiple faiths; extreme altitude; carry altitude-sickness precautions,sikkim_tourist.csv
Sikkim,SK,Zuluk & Old Silk Route,Scenic High-Altitude Road/Village / Heritage Route,nan,Road-based sightseeing — daytime visits recommended; seasonal closures,No standard entry fee; travel permits / vehicle charges may apply,Mar–Jun & Sep–Nov,New Jalpaiguri (NJP),Local village stops; main access via Gangtok / Rongli,Bagdogra (IXB),No metro available,"High mountain roads, steep gradients; not wheelchair accessible",Local drivers and guides familiar with Silk Route history available,Limited at viewpoints; informal parking,Very limited — basic village shops/tea stalls,Regional tourism pages / blogs,Zuluk (page exists) / Old Silk Route references,Scenic historic trade route with dramatic switchbacks; popular with photographers and motorcycle tours,sikkim_tourist.csv
Sikkim,SK,Yuksom — Dubdi Monastery & Norbugang Chorten,Historical / Pilgrimage Site (First Capital Of Sikkim),nan,Monastery visiting hours generally daytime,Usually free / donations for monasteries; heritage conservation fees may apply,Mar–Jun & Sep–Nov (treks & mountain views),New Jalpaiguri (NJP) — ~140–170 km,Yuksom local stop / Gyalshing nearby,Bagdogra (IXB),No metro available,Roads to Yuksom are motorable; some heritage sites have steps / short trails,Local guides for heritage circuit and treks to Goecha La,Available in town; small local charges possible,"Lodges, tea-houses, basic restaurants; trekking outfitters",Sikkim tourism / West district pages,Yuksom / Dubdi Monastery pages,First capital of Sikkim; start point for many Kanchenjunga treks,sikkim_tourist.csv
Sikkim,SK,Tashiding Monastery,Religious (Nyingma Buddhist Monastery) / Pilgrimage & Festival Site,nan,Open for visitors typically during daytime; Bhumchu festival on specific dates,Generally no fixed fee; donations welcome,Mar–Jun & Sep–Nov; festival season (Bhumchu) is culturally important,New Jalpaiguri (NJP) — 150+ km,Tashiding / Gyalshing local bus points,Bagdogra (IXB),No metro available,Hilltop monastery — some uphill steps; limited wheelchair access,Local guides available; heritage-culture tours common,Small parking nearby in village,Small eateries in nearby towns; best services in Pelling / Gyalshing,District / Sikkim STDC pages,https://en.wikipedia.org/wiki/Tashiding_Monastery,Very sacred monastery for Sikkim — considered spiritual “navel” of the region; Bhumchu festival is a major event,sikkim_tourist.csv
Sikkim,SK,"Ravangla (Ralong / Buddha Park, Ralang Monastery)",Hill Station / Monastic Site / Park,nan,Buddha Park & monasteries open during daytime,Usually free/donation for religious sites; park may have small entry fee,Mar–Jun & Sep–Nov,New Jalpaiguri (NJP) — ~130–170 km,Ravangla local bus point,Bagdogra (IXB) — road to Ravangla (~4–5 hours),No metro available,Good motorable roads to Ravangla; some temple steps and short trails; limited wheelchair access,Local guides and cultural tours available,Public parking at major viewpoints/parks,"Hotels, guesthouses, cafes, small shops",Sikkim Tourism (Ravangla pages),Ravangla / Ralang Monastery pages,Ralang Monastery known for festivals; Buddha Park has a prominent large Buddha statue and views,sikkim_tourist.csv
Sikkim,SK,Maenam Wildlife Sanctuary & Barsey Rhododendron Sanctuary,Wildlife Sanctuary / Biodiversity Hotspot,nan,Daylight hours; trekking permits may be required,Park permits / entry fees may apply for treks,Mar–May (rhododendron bloom),New Jalpaiguri (NJP) — then road to nearest towns,Nearby local town / park entry points,Bagdogra (IXB),No metro available,Jungle/trekking trails of moderate difficulty; not suitable for wheelchairs,Local naturalist guides often available via eco-tour operators,Designated parking at trailheads,Basic local accommodation / homestays,Sikkim forest / tourism pages,Maenam Wildlife Sanctuary / Barsey Rhododendron Sanctuary (entries/mentions exist),Important birdlife and rhododendron conservation areas; seasonal floral spectacles,sikkim_tourist.csv
Sikkim,SK,Khangchendzonga National Park,National Park / Biosphere / High-Altitude Trek & Eco-Tour,nan,Protected area — visiting hours regulated; permits required for treks,Trekking / camping permits and forest / park fees apply,Mar–Jun & Sep–Oct,New Jalpaiguri (NJP) / access via Gangtok / Yuksom,Local village bus/taxi hubs (Yuksom / Chungthang),Bagdogra (IXB),No metro available,Trekking routes range from moderate to very difficult; not wheelchair accessible,Mandatory licensed guides/liaison officers for many treks,At trailheads / villages,"Trekking lodges, camps, limited services in base villages",UNESCO & official park pages,https://en.wikipedia.org/wiki/Khangchendzonga_National_Park,"UNESCO Mixed (natural + cultural) heritage site; home to red panda, snow leopard habitat",sikkim_tourist.csv
Sikkim,SK,Singshore Bridge & Rimbi Waterfalls,Scenic Bridge / Waterfall / Photo-Point,nan,Daytime visits; bridges/points accessible during daylight,No major entry fee; local conservation / parking charges may apply,Oct–May for clear views,New Jalpaiguri (NJP) — Pelling approx. 140–160 km by road,Pelling / Gyalshing local bus points,Bagdogra (IXB),No metro available,Good motorable access near viewpoints but some short walks/steps; not wheelchair-friendly,Local drivers/guides arrange stops en route from Pelling,Local parking near viewpoint; small informal charges,Small eateries and tea stalls; accommodation in Pelling,Sikkim Tourism Pelling pages,Singshore Bridge (mentions in travel guides),One of India’s highest bridges and a popular photography location,sikkim_tourist.csv
Sikkim,SK,Temi Tea Garden,Tea Garden / Scenic Agricultural Attraction,nan,Daytime visiting for gardens and factory visits,Usually none for general garden access; factory tour fees if arranged,Year-round; spring and autumn most pleasant,New Jalpaiguri (NJP) — road to Namchi (~160–180 km),Namchi bus stand / nearby stops,Bagdogra (IXB) — road to Namchi (~135 km),No metro available,Well-laid plantation roads & viewpoints; moderate walking; wheelchair access limited,Tea garden visits and guided tasting sessions sometimes available,Onsite parking at garden viewpoints,"Resorts, restaurants in Namchi; tea-stalls/gift shops",Sikkim Tourism / Namchi tourism pages,Temi Tea Garden pages / mentions,Sikkim’s only large tea estate — scenic terraces and local tea produce are highlights,sikkim_tourist.csv
Sikkim,SK,Darap Village,Cultural Village / Eco-Tourism / Homestays,nan,Day visits; homestays operate year-round,No standard entry fee; homestays / eco-trek permits may have small charges,Mar–Jun & Sep–Nov,NJP — onward road to Darap/Pelling,Darap local stop / Pelling bus points,Bagdogra (IXB),No metro available,Village trails are short-moderate; some uphill walking; limited wheelchair access,Village homestay hosts & local guides can arrange cultural walks,Small parking at entry to village; charges minimal,"Homestays, small eateries, basic shops",Regional tourism / village pages,Darap village mentioned in travel guides,"Good for cultural homestays, indigenous lifestyle experience and short nature walks",sikkim_tourist.csv
Sikkim,SK,Chopta Valley,High-Altitude Valley / Scenic Meadows,nan,Day visits; road/weather dependent,Permits required for North Sikkim; small fees may apply,Apr–Jun & Sep–Oct,New Jalpaiguri (NJP) — then road via Gangtok to Lachen and Chopta Valley,Lachen village / local stops,Bagdogra (IXB),No metro available,High-altitude roads; steep sections; not wheelchair-friendly,Local operators provide guided excursions,Designated parking near base villages,Limited guesthouses & tea stalls at Lachen,Sikkim tourism / local guides,Mentioned in travel resources for Lachen/Gurudongmar circuits,Scenic high-altitude grassland area visited en route to Gurudongmar,sikkim_tourist.csv
Sikkim,SK,Khecheopalri Lake,Sacred Lake / Eco Spot / Pilgrimage,nan,Daylight hours; lake is a protected sacred site,No major entry fee; local conservation guidelines apply,Oct–May,New Jalpaiguri (NJP) — then road to Pelling / Khecheopalri,Pelling / local stops,Bagdogra (IXB),No metro available,Short walking trails to lake; steps/trails exist; not wheelchair-friendly,Local guides and temple caretakers explain sacred significance,Parking at trailhead / Pelling,Small tea stalls and homestays in Pelling,Sikkim tourism / Pelling pages,https://en.wikipedia.org/wiki/Khecheopalri_Lake,Considered sacred; wish-fulfilling lake for Buddhists & Hindus; follow local conservation etiquette,sikkim_tourist.csv
Tamil Nadu,TN,Meenakshi Amman Temple,Temple,nan,Generally early morning until late evening with breaks for rituals (specific puja/timing windows vary by season) — Not documented precisely,No general entry fee; special darshan/queue passes may carry fees — Not documented,October–March,Madurai Junction,Periyar Bus Stand (Madurai),Madurai Airport,No metro available,City roads; large complex with many steps and crowds; partial wheelchair access in some areas but crowded — check locally for specific facilities,"Local guides available (Tamil, English common)",Temple-managed parking + nearby paid lots; charges vary — Not documented,"Plenty of restaurants, lodging (budget to premium), shops for religious items, public restrooms around the temple precincts",,https://en.wikipedia.org/wiki/Meenakshi_Amman_Temple,One of southern India’s most famous goddess temples; centuries-old architecture and vibrant festival tradition; heavy crowds during festivals.,tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Brihadeeswarar Temple,Historical Monument / Temple,nan,Typically morning to evening (exact hours vary; often ~6:00–12:00 and 16:00–19:00) — Not documented precisely,Temple complex usually has no general entry fee; some guided/heritage services may charge — Not documented,October–March,Thanjavur Junction,Thanjavur Central Bus Stand,Tiruchirappalli International Airport (Trichy),No metro available,Well connected by road; temple has steps and heritage structures — wheelchair access limited in core sanctum areas,Local guides and archaeology/heritage tours available (Tamil/English),Nearby public/paid parking in Thanjavur city — charges vary — Not documented,"Hotels, restaurants, handicraft shops, museums (Thanjavur Maratha Palace & Art Gallery nearby)",,https://en.wikipedia.org/wiki/Brihadisvara_Temple,"Major Chola-era temple, part of UNESCO Great Living Chola Temples; architectural marvel with large vimana (tower).",tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Mahabalipuram / Mamallapuram,Historical Monuments / Beach / Unesco-Linked Group,nan,Individual monuments/park timings often ~ sunrise–sunset; specific museums may have set hours — Not documented precisely,Entry fees apply for certain monuments/archaeological sites (ASIs/heritage sites) — Not documented precisely,November–February,Chengalpattu or Egattur / Chennai stations,Mahabalipuram Bus Stand,Chennai International Airport,No metro available,Good road access via East Coast Road (ECR); monuments have steps and rocky terrain — variable wheelchair accessibility,Local guides (English/Tamil) and heritage walks available; many organized day-trips from Chennai,Public parking in town; private parking at larger hotels and monument car parks — charges vary — Not documented,"Restaurants, cafes, guesthouses, resorts, souvenir shops, restrooms",https://www.tamilnadutourism.tn.gov.in/destinations/mahabalipuram,https://en.wikipedia.org/wiki/Mahabalipuram,"Famous for shore temple, Pancha Rathas, rock-cut bas-reliefs (Descent of the Ganges), UNESCO heritage value (group of monuments), popular day-trip from Chennai.",tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Ooty (Udhagamandalam),Hill Station / Botanical Gardens / Lakes / Nilgiri Mountain Railway,nan,"Attractions (Botanical Garden, lake) have set opening hours — Not documented precisely",Botanical Garden / museums may have small entry fees — Not documented precisely,March–June; October–February,Udhagamandalam (Ooty),Ooty Bus Stand (Gandhigram),Coimbatore International Airport,No metro available,"Hill roads, winding but well maintained; many viewpoints require short walks/steps — partial wheelchair access in limited areas","Local guides and tour operators (English/Tamil) for tea estates, nature walks",Hotel and public parking available; charges vary — Not documented,"Hotels/resorts, cafés, restaurants, shops, trekking operators",,https://en.wikipedia.org/wiki/Ooty,"Famous colonial-era hill station, tea gardens, Nilgiri Mountain Railway (UNESCO tentative/heritage-noted), scenic viewpoints.",tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Kodaikanal,Hill Station / Lakes / Waterfalls,nan,"Parks, lake boating hours governed locally — Not documented precisely",Boating and some park entries have fees — Not documented precisely,October–March,Kodai Road Railway Station (Kodaikanal Road),Kodaikanal Bus Stand,Madurai Airport,No metro available,Hill roads; many viewpoints require walking/steps; limited wheelchair access in core tourist spots,"Local guides/tour operators available (English, Tamil)",Public and hotel parking — charges vary — Not documented,"Restaurants, cafes, lodging, shops, medicinal plant stores",,https://en.wikipedia.org/wiki/Kodaikanal,"Princess of Hill Stations; famous for Kodaikanal Lake, Coaker's Walk, Bryant Park, and nearby waterfalls.",tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Ramanathaswamy Temple,Temple / Pilgrimage,nan,Temple opens early morning and closes late evening (ritual timings vary); exact daily schedule: Not documented,No general entry fee; certain rituals/scarlet services may have charges — Not documented,October–March,Rameswaram Railway Station,Rameswaram Bus Stand,Madurai Airport,No metro available,Rameswaram is on Pamban Island accessible via road and rail (Pamban bridge); temple has long corridors and many steps — partial accessibility for mobility-impaired but long walking distances inside complex,Local guides available; pilgrim services common (Tamil/English),Town parking available; small fees locally — Not documented,"Lodging, restaurants, shops for religious paraphernalia, pilgrim amenities",,https://en.wikipedia.org/wiki/Ramanathaswamy_Temple,One of the holiest Shiva temples; famed for ornate corridors and sacred tanks; part of Char Dham pilgrimage tradition for many.,tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Vivekananda Rock Memorial & Thiruvalluvar Statue,Memorials / Cultural Monuments / Seaside Viewpoint,nan,Ferry services run during daytime (subject to sea & weather conditions); monument visiting hours follow ferry schedule — Not documented precisely,Ferry charge to Vivekananda Rock & Thiruvalluvar varies (small passenger ferry fee) — Not documented precisely,October–March,Nagercoil Junction / Kanyakumari Railway Station,Kanyakumari Bus Stand,Trivandrum International Airport (Thiruvananthapuram),No metro available,Access by ferry; walking on the rock memorial areas; recent infrastructure (including a glass bridge reported) — check local advisories,Local guides available in town; many package tours include Kanyakumari viewpoint at sunrise/sunset,Public parking in Kanyakumari town; charges vary — Not documented,"Hotels, seafood restaurants, souvenir shops, restrooms",,https://en.wikipedia.org/wiki/Vivekananda_Rock_Memorial,Southernmost tip of mainland India; spectacular sunrise & sunset views; cultural monuments and new pedestrian infrastructure (glass bridge) reported recently.,tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Marina Beach,Urban Beach / Public Promenade,nan,Public beach; open 24 hours (individual attractions along the beach may have timings). Swimming discouraged/illegal in many areas due to currents.,Free (public beach),November–February,Chennai Beach Railway Station,Many city bus stops along the beachfront; nearest major: Egmore/Chennai Mofussil bus stands,Chennai International Airport,No direct metro along entire stretch,Road access good; wide promenades in parts with ramps (some wheelchair access) but sand & crowding limit mobility in many stretches,Not typical for the beach itself; city tours include Marina as a stop,Several public parking lots and paid zones near the promenade — charges vary,"Food stalls, cafes, lifeguard/police patrol; restrooms at some points, nearby hotels & tourist services",,https://en.wikipedia.org/wiki/Marina_Beach,"One of the longest urban beaches; popular for walks, public events and memorials along the shore.",tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Hogenakkal Falls,Waterfall / River Gorge (Cauvery) / Boating (Coracle Rides),nan,Daytime visiting hours (sunrise–sunset); boating times subject to weather/water levels — Not documented precisely,Park/boat charges for coracle rides apply (local rates) — Not documented precisely,December–March & post-monsoon when flows are scenic; monsoon may be hazardous for boating,Pennagaram/Dharmapuri area stations; Dharmapuri Railway Station,Hogenakkal bus services from Dharmapuri/Bengaluru via bus; local bus stand at Hogenakkal village,Bengaluru International Airport or Salem Airport,No metro available,Rocky uneven terrain; trekking/steps; not wheelchair-friendly in core waterfall areas,Local boatmen/guides for coracle rides (Tamil / some English),Local parking near entry; small fees generally — Not documented,"Snack stalls, local eateries, basic lodging in nearby towns, restrooms",,https://en.wikipedia.org/wiki/Hogenakkal_Falls,Known as 'Niagara of India' locally; coracle rides and medicinal oil massage stalls nearby — check safety advisories during heavy flow.,tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Mudumalai National Park / Wildlife Sanctuary,Wildlife Sanctuary / National Park (Part Of Nilgiri Biosphere),nan,Safari timings set by park authorities (morning & afternoon slots) — Not documented precisely,Park/safari fees apply (per vehicle / per person); permits required — Not documented precisely,October–May,Mysuru / Mettupalayam / Ooty approaches depending on entry gate,"Local bus stands at nearby towns (Masinagudi, Theppakadu)",Coimbatore International Airport / Mysuru Airport,No metro available,Forest roads; 4x4 vehicle safaris; limited wheelchair accessibility in core forest areas,Park-run and private guided safaris (English/Tamil) available; advance booking often required,Provided near park gates — Not documented precise charges,"Forest rest houses, private resorts, basic eateries; visitor centres at main gates",,https://en.wikipedia.org/wiki/Mudumalai_National_Park,"Part of Nilgiri Biosphere Reserve; good for elephants, tigers (rare), deer and birdlife — check park notifications for closures and permit procedures.",tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Vedanthangal Bird Sanctuary,Bird Sanctuary / Wetland,nan,Sanctuary hours typically daytime only (sunrise–sunset) — Not documented precisely,Small entry fee for visitors (state rates) — Not documented precisely,November–March,Chengalpattu Junction / local stations nearer,Vedanthangal bus access from Chengalpattu / nearby towns,Chennai International Airport,No metro available,Flat wetland trails and watchtowers; relatively accessible though boardwalks and steps exist — partial wheelchair access in some viewing areas?,Local bird guides / nature guides available (Tamil/English),Small parking at sanctuary entrance — Not documented,"Small eateries in nearby villages, restrooms at entrance, limited lodging in larger towns nearby",,https://en.wikipedia.org/wiki/Vedanthangal_Bird_Sanctuary,nan,tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Yercaud,Hill Station,nan,Open year-round,Free (individual attractions may charge small fees),October–June,Salem Junction,Yercaud Bus Stand (town centre),"Salem Airport, Tiruchirappalli",No metro available,Winding hill roads; generally well maintained,Local guides & cabs available,"Available at viewpoints, charges vary","Hotels, restaurants, cafes",,https://en.wikipedia.org/wiki/Yercaud,"Known as the “Poor Man’s Ooty”; famous for Yercaud Lake, Pagoda Point, Lady’s Seat.",tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Courtallam (Kutralam) Falls,Waterfalls / Health Tourism,nan,"Daytime, seasonal (June–September best for waterfalls)",Free (bathing areas may have charges),Monsoon (June–September),Tenkasi Junction,Courtallam Bus Stand,Tuticorin Airport,No metro available,Road access good; slippery rocks near waterfalls,Not required; local guides available,"Local parking, charges nominal","Lodging, food stalls, Ayurvedic centres",,https://en.wikipedia.org/wiki/Courtallam,Known as “Spa of South India” due to therapeutic waterfalls.,tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Annamalaiyar Temple,Temple (Shaivite Pilgrimage),nan,Early morning to late night; rituals vary,Free; special darshan tickets available,Karthigai Deepam festival (Nov–Dec); generally Oct–Mar for weather,Tiruvannamalai Railway Station,Tiruvannamalai Bus Stand,Chennai Airport,No metro available,"City roads; temple has steps, large gopuram gateways",Local guides available,"Available nearby, charges nominal","Hotels, lodges, restaurants",,https://en.wikipedia.org/wiki/Annamalaiyar_Temple,Famous for Arunachala hill; Girivalam (circumambulation) ritual draws lakhs of devotees.,tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Srirangam Ranganathaswamy Temple,Temple (Vaishnavite; Largest Functioning Hindu Temple Complex),nan,6 am – 9 pm (with breaks),Free; ₹50–₹250 for special darshan,December–January (Vaikunta Ekadasi festival),Srirangam Railway Station; Tiruchirappalli Junction,Srirangam Bus Stand,Tiruchirappalli International Airport,No metro available,"Well connected; large temple complex, partially wheelchair accessible",Available in English/Tamil,Nearby lots; charges apply,"Restaurants, pilgrim lodges",https://srirangam.org,"https://en.wikipedia.org/wiki/Ranganathaswamy_Temple,_Srirangam",Rich temple architecture; important for Vaishnavites.,tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Kolli Hills,Hill Station / Trekking / Waterfalls,nan,Open year-round,Free; attractions may charge small fees,November–April,Namakkal,Semmedu Bus Stand (in Kolli Hills),Tiruchirappalli,No metro available,70 hairpin bends on ghat road; steep trekking at waterfalls,Local guides for trekking,Available near viewpoints,"Resorts, homestays, food stalls",,https://en.wikipedia.org/wiki/Kolli_Hills,"Famous for Agaya Gangai waterfall, Siddhar caves, and hairpin bends.",tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Pichavaram Mangrove Forest,Eco-Tourism / Boating,nan,8 am – 5 pm,Boating charges: ₹200–₹1000 depending on boat & duration,November–February,Chidambaram,Chidambaram Bus Stand,Chennai or Trichy,No metro available,"Good roads; boats are rowboats/motorboats, not wheelchair-friendly",Local boatmen act as guides,Available at boating point,"Restaurants, restrooms, shops",https://www.tamilnadutourism.tn.gov.in/destinations/pichavaram,https://en.wikipedia.org/wiki/Pichavaram,Second largest mangrove in the world; popular for boating inside narrow creeks.,tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Thanjavur Maratha Palace & Art Gallery,Historical Palace / Museum,nan,9 am – 6 pm (varies),₹10–₹50 (museum charges vary),October–March,Thanjavur Junction,Thanjavur Central,Trichy Airport,No metro available,Steps & courtyards; partial wheelchair access,Local guides available,Available nearby,"Restaurants, hotels",,https://en.wikipedia.org/wiki/Thanjavur_Maratha_palace,Houses Saraswathi Mahal Library and art gallery with Chola bronzes.,tamil_nadu_tourist_places.csv
Tamil Nadu,TN,Kanchipuram Temples,Temples (Vaishnavite & Shaivite; One Of Sapta Puri Pilgrimage Cities),nan,"Varies temple to temple (generally 6 am – 12 pm, 4 pm – 8 pm)",Free; special darshan fees at some temples,Oct–Mar,Kanchipuram Railway Station,Kanchipuram Bus Stand,Chennai Airport,No metro available,"Well-connected city; temples with steps, mixed accessibility",Local temple guides available,Town parking spaces available,"Silk shops, lodges, restaurants",,https://en.wikipedia.org/wiki/Kanchipuram,"“City of Thousand Temples”; famous for silk sarees and heritage temples like Ekambareswarar, Kailasanathar.",tamil_nadu_tourist_places.csv
